n_components,n_neighbors,eigen_solver,n_jobs,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
1,1,dense,-1,0.8313565121633797,0.6602403715515639,0.9999929751464746,0.7290714285714285,0.01804168272227962,0.44774340397243545,108.16767138699652,46.180270034004934
1,2,dense,-1,0.6870023797605938,0.7508748694993064,0.9999962471502086,0.527,-0.03505668439205989,0.39297620042193837,107.3425403869769,46.05179232300725
1,3,dense,-1,0.7104258884773251,0.9018835461865194,0.9999942301749333,0.6089285714285714,0.03659949153310511,0.45156865349011754,108.62278184201568,46.36390234300052
1,4,dense,-1,0.6798989231011255,0.9112202251047581,0.9999964151826815,0.5258285714285714,-0.0035303069329261703,0.4233902608903547,109.92592792198411,47.50261057401076
1,5,dense,-1,0.7235653890708351,0.9420454256825365,0.9999920887941167,0.6536714285714286,0.34766622194576774,0.5333912752952903,110.0975105940015,46.9975562269974
1,6,dense,-1,0.7363403172060696,0.9443444102798793,0.9999919826234013,0.6851,0.3524744165869923,0.543653432289908,109.85141226599808,46.452011318993755
1,7,dense,-1,0.7259107461064314,0.9437881383807903,0.9999917037112371,0.6816142857142856,0.3437520387222222,0.5390147010424985,108.78402710400405,46.43087276999722
1,8,dense,-1,0.7207162235602019,0.9423920626975387,0.999991664413747,0.6674857142857143,0.34637578868309077,0.5353956249625598,108.20813044797978,46.428575672005536
1,9,dense,-1,0.7126582111751498,0.9403341447020294,0.9999916195809749,0.6293142857142856,0.3469913469864813,0.5258612737993942,110.33889545101556,46.45175463298801
2,1,dense,-1,0.82826133175064,0.6632141512806945,0.9999891166708264,0.7324571428571429,0.0222329482848065,0.4492352915004915,106.04352875199402,46.05548491698573
2,2,dense,-1,0.7361224375384352,0.7894441785964561,0.9999921968291035,0.5982285714285716,-0.05669535188541933,0.4247605981468719,107.73700573600945,48.39328231700347
2,3,dense,-1,0.8491625473735395,0.9286614761952433,0.9999899574995952,0.8373571428571428,0.006106439675388472,0.5242595297203437,113.1737147810054,48.01975941300043
2,4,dense,-1,0.8366782160376414,0.9206049883443216,0.999992587742031,0.7263428571428572,-0.039266600168066414,0.49672669475655784,111.9349211830122,48.59092998999404
2,5,dense,-1,0.8655693362698968,0.957553438782661,0.9999888385858551,0.8149,0.39638252655881023,0.6068832926051027,112.93186476299888,47.648027268005535
2,6,dense,-1,0.852431167140998,0.9615492985140798,0.9999882149492628,0.8078285714285713,0.39025281925410826,0.602414728277699,111.31723207200412,47.79147545498563
2,7,dense,-1,0.842365208872617,0.9623342948672111,0.9999872814212576,0.7985714285714285,0.3522232404545483,0.5911013782689095,110.72623756201938,48.67472252598964
2,8,dense,-1,0.8301982495030248,0.961108340603235,0.9999868925673496,0.7878714285714286,0.30987005401713963,0.5778122360254957,112.77056132099824,48.5122061590082
