n_components,n_neighbors,min_dist,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
1,5,0.0,0.9151392917924002,0.9517445704560731,0.9868382361339252,0.96,0.15864563493398035,0.5997382522097057,23.721718356013298,47.87245660502231
1,50,0.0,0.9005877679733421,0.9542904266121305,0.9789775255266294,0.997057142857143,0.20346655093141655,0.6152848725694806,30.247978476982098,50.49907056201482
1,500,0.0,0.8943564120532586,0.9540478083034195,0.97599011447804,0.9995428571428573,0.15876544846269003,0.6061444822968372,72.67196904000593,48.7805025469861
1,1000,0.0,0.8930114883514724,0.9529739499163365,0.9772959244967907,0.9998142857142857,0.1539431152324898,0.6044893829435587,108.99733636598103,47.016681283013895
2,5,0.0,0.9711807059193684,0.9636401298571285,0.9890249049624109,0.9667142857142859,0.22296272173240106,0.6270945876521546,18.315404615015723,46.66459221096011
2,50,0.0,0.9592342305107047,0.9587840967921857,0.9820702251956769,0.9983142857142858,0.1911547542849889,0.6250834284212976,30.246909496956505,46.638229564006906
2,500,0.0,0.9539914577463782,0.9525887762252764,0.9811684851341185,0.9998857142857143,0.14390511075281556,0.6138405147752133,71.30622278200462,47.13086456700694
2,1000,0.0,0.9529261344621941,0.9537473149035367,0.9810346801285158,0.9999142857142856,0.14366922474504337,0.6138444559393088,106.57274148298893,46.98455749102868
3,5,0.0,0.982841238219184,0.9691889764455186,0.9894311604286328,0.9693571428571429,0.23615709175857413,0.6336226577703574,18.29237031599041,46.87159830000019
3,50,0.0,0.9788645038113353,0.9572456344836463,0.9837994658293912,0.9984428571428573,0.16347760501041697,0.622846226923773,30.05658776697237,46.69438448199071
3,500,0.0,0.9750376013614976,0.9539704188893497,0.9797016850037261,0.9999,0.1359193028724122,0.6170251276239067,70.50392334000207,46.60647747601615
3,1000,0.0,0.9742514794845759,0.9533604565021524,0.9825670060606441,1.0,0.08272083650298911,0.6055531532858147,110.90914114902262,46.87150427396409
4,5,0.0,0.9843983882270497,0.9687266107003418,0.9895103640905457,0.9656857142857143,0.2450477809087852,0.6348696260062692,18.507417440006975,46.42262311803643
4,50,0.0,0.9798203566780601,0.9637534116099138,0.9828567890484241,0.9983142857142858,0.18037163419918842,0.6278805798306049,29.978660240012687,47.09476877999259
4,500,0.0,0.9771315847432176,0.9614691203180642,0.9816891697909677,0.9999,0.16274642802604544,0.623911592659272,73.23805557197193,46.51240601297468
4,1000,0.0,0.9771589462694679,0.9605253950774424,0.9803896016979271,0.9999142857142856,0.1497758416790403,0.6213969734084618,108.49335314601194,46.50043899100274
5,5,0.0,0.9843106731690574,0.9685533072093588,0.9896661109480275,0.971857142857143,0.20357586667725905,0.6277261757929582,18.275196170026902,46.91827685397584
5,50,0.0,0.9806313044348783,0.9631720707063485,0.9834683007726903,0.9983285714285713,0.1811760026496535,0.6279679296893523,31.24414516997058,46.48031715804245
5,500,0.0,0.9785583599101869,0.9636354704460621,0.9820798930889972,0.9999142857142856,0.20265489377023782,0.6325366233503551,72.27516450098483,46.60661422699923
