Dimension,Accuracy_standard,Accuracy_vsvm
1,0.8319,0.7878
2,0.9082,0.8891
3,0.9387,0.9406
4,0.9447,0.9440
5,0.9448,0.9448
6,0.9470,0.9467
7,0.9476,0.9476
8,0.9484,0.9486
9,0.9471,0.9481

