n_components,n_neighbors,eigen_solver,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
1,1,dense,0.5181994822876593,0.6018294423866253,1.0001652124752303,0.2569571428571428,0.08507178498772817,0.2924115705038312,284.67433110599814,76.49853320400871
1,2,dense,0.6561716016189236,0.905038522374612,10.336815811522706,0.4561285714285714,0.3890887625986827,0.48128549160415796,305.9350823380082,54.20702400099253
1,3,dense,0.6449023940620398,0.9038541166711954,3.539855062118388,0.4184142857142857,0.4063268402786222,0.4746995273452287,291.8123153140041,56.38564436000888
1,4,dense,0.6262151094775682,0.8965825536661757,2.149439754674008,0.3700142857142857,0.4187742019293146,0.46231723015746884,298.2179886570084,53.16716187199927
1,5,dense,0.6320235959555511,0.9020805300115842,1.553468441657083,0.36147142857142855,0.41413130649862384,0.46194137220743753,278.46866896399297,49.56975016499928
1,6,dense,0.6278266679061253,0.9014746392460278,1.2223968202402509,0.3525714285714286,0.40794798658214143,0.45796414446114464,255.49591387099645,48.09577771699696
1,7,dense,0.630853473106131,0.9020651216337972,1.0491907175353477,0.36111428571428567,0.4121358226845015,0.4612337406277431,256.60669479198987,47.7704549379996
1,8,dense,0.6327173862677518,0.899146086409336,0.9027650070611646,0.3655857142857143,0.4178615451455487,0.4825091450094372,262.2400150429894,48.235096228003385
1,9,dense,0.6414374368948701,0.8977438939976832,0.758217958384338,0.3691285714285714,0.42018692256962265,0.5140557733012819,256.09764976501174,46.67051507800352
2,1,dense,0.5209286615276805,0.6021956437795861,0.9946324834986604,0.2635142857142856,0.08378164027415372,0.29515754955940915,202.05544116599776,47.711292032006895
2,2,dense,0.7689570942322269,0.9479638473749696,17.20762549873122,0.5988571428571428,0.47033618598746646,0.5572228540903612,238.64376956099295,47.23177893899265
2,3,dense,0.769434121819716,0.96153546043505,6.119835336025207,0.5548142857142856,0.5201207587123736,0.561180925336285,306.2428382860089,62.33175148299779
2,4,dense,0.771423984954879,0.9641299057534717,3.805549166924265,0.5409142857142857,0.5338004994829381,0.5620537351811148,277.27646738200565,49.756747930005076
2,5,dense,0.7733068360911288,0.9667600632123907,2.7577295127954953,0.5099571428571429,0.5366437187782956,0.5573335521877917,265.8350380750053,49.66855493100593
2,6,dense,0.7694155442415228,0.9676049697524419,2.182339438832404,0.4882857142857143,0.5340948092649208,0.55188020750892,267.8773093320051,49.61552508200111
2,7,dense,0.7696137494100653,0.9684210631694864,1.821842607110119,0.4813714285714285,0.5436979638774414,0.5526208410056843,268.3019707640051,47.96809344900248
2,8,dense,0.7700766800623543,0.9671755745605881,1.5224017548848015,0.4774,0.5539762893747002,0.5537257087995285,244.34603505500127,45.236694581006304
2,9,dense,0.7714537047895542,0.965882771048153,1.2637519986801689,0.4606571428571428,0.5495115134634576,0.5495010264316615,225.36061163499835,45.09767912799725
3,1,dense,0.5231927162736153,0.6022311828725884,0.9907609098168042,0.26631428571428567,0.08287340458548564,0.29677013592583423,175.45746764600335,44.72587295999983
3,2,dense,0.8873668692704832,0.968817253264305,23.536045723074224,0.7355714285714285,0.545384682368588,0.6274280466949609,207.5279208520078,44.919906891998835
3,3,dense,0.8907760679604708,0.9802330449208415,8.713957251131651,0.7092142857142856,0.6124886390793272,0.638542407534985,212.51336230400193,45.09639891599363
3,4,dense,0.8871537004991205,0.983471132531499,5.501647738475933,0.6731571428571429,0.6330437707718182,0.6353651493319161,214.80690232099732,45.01281402799941
3,5,dense,0.8890894812865581,0.9855143600818043,4.087566327910712,0.6596857142857143,0.6436646602079502,0.6355908431724054,216.8816024879925,44.94608628698916
3,6,dense,0.8876144115670095,0.9865899918481759,3.2523619236996373,0.6389714285714285,0.6443074042256804,0.631496647242459,226.08896484599973,56.879555350999
3,7,dense,0.8871957667720206,0.9873444631952291,2.7392982918126996,0.6311142857142857,0.6550012012568958,0.6321311433876864,282.83504618400184,47.71854670198809
3,8,dense,0.8858377472362455,0.9866767444188608,2.3215130651609988,0.6254428571428571,0.6625661677037722,0.6321047033003472,255.47279331200116,47.153486919996794
3,9,dense,0.8833295467871802,0.9857917995509347,1.953979313315,0.6171,0.660747332111572,0.6293937356899374,260.3375133429945,47.19523425100488
4,1,dense,0.5242805257211505,0.6022559086423638,0.9892645956486473,0.2688285714285714,0.08331390973069246,0.2978828639748262,207.01099899900146,47.33189674800087
4,2,dense,0.930486190523862,0.9729518656236146,28.899810118274576,0.8173571428571429,0.566156570109654,0.6573903538228547,210.61421784599952,44.83400951400108
4,3,dense,0.9343856599402199,0.9855323856241867,10.976581716023274,0.8237285714285714,0.6306319249029464,0.6748557083791848,212.20008355999016,44.89042944699759
