Dimension,Accuracy_standard,Accuracy_vsvm
1,0.3541,
2,0.5162,
3,0.7230,
4,0.7889,
5,0.9034,
6,0.9418,0.9428
7,0.9473,0.9508
8,0.9508,0.9508
9,0.9532,0.9569
10,0.9596,0.9569
50,0.9682,0.9724
100,0.9694,0.9736
200,0.9701,0.9755
