Dimension,Vecinos,Mindist,Accuracy
1,9,,0.3553999960422516
2,4,,0.5029000043869019
3,3,,0.7045000195503235
4,8,,0.762499988079071
5,8,,0.8845999836921692
6,9,,0.9262999892234802
7,9,,0.9358999729156494
8,9,,0.9409000277519226
9,9,,0.946399986743927
10,9,,0.9498999714851379
50,9,,0.9609000086784363
100,9,,0.9593999981880188
200,9,,0.9621000289916992
