Dimension,Accuracy
1,0.3172999918460846
2,0.4758000075817108
3,0.5329999923706055
4,0.6449999809265137
5,0.7495999932289124
6,0.8185999989509583
7,0.8687999844551086
8,0.8921999931335449
9,0.9064000248908997
10,0.9193999767303467
50,0.974399983882904
100,0.9696999788284302
200,0.9678999781608582
