Dimension,Vecinos,Mindist,Accuracy
1,500,0.5,0.649399995803833
2,5,0.25,0.9381999969482422
3,5,0.75,0.9387000203132629
4,5,0.99,0.9416000247001648
5,1000,0.99,0.8381999731063843
6,5,0.99,0.9376999735832214
7,5,0.5,0.9490000009536743
8,5,0.99,0.9491000175476074
9,5,0.75,0.951200008392334
10,5,0.75,0.9498000144958496
50,5,0.1,0.9470000267028809
100,5,0.75,0.9381999969482422
200,5,0.75,0.9455000162124634
