Dimension,Perplexity,Exaggeration,Accuracy
1,30,,0.9251999855041504
2,100,,0.9302999973297119
3,500,,0.9423999786376953
4,500,,0.9466999769210815
5,500,,0.9492999911308289
6,500,,0.9495999813079834
7,500,,0.9501000046730042
8,500,,0.9502999782562256
9,500,,0.9480000138282776
10,500,,0.9495000243186951
