Dimension,Vecinos,Accuracy
1,6,0.5640000104904175
2,5,0.6844000220298767
3,6,0.8235999941825867
4,5,0.8565999865531921
5,6,0.9100000262260437
6,4,0.9453999996185303
7,6,0.9160000085830688
8,4,0.9527000188827515
9,6,0.955299973487854
10,9,0.9553999900817871
50,9,0.958299994468689
100,9,0.965399980545044
200,7,0.9674999713897705
