n_components,perplexity,exaggeration,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
1,30,,0.9401637672868727,0.968746665617894,0.9635486438622737,0.9025142857142857,0.3421157622988023,0.6379983674111163,41.95397549599875,46.88646183896344
1,100,,0.9258685282382049,0.964671763225262,0.9714254999860769,0.867742857142857,0.35494551209803904,0.6283606321436572,72.58747849898646,46.85961203300394
1,250,,0.9094360353531742,0.9561293222544799,0.9812121768275859,0.7984857142857144,0.38255193670762716,0.613078166354682,133.48364745697472,47.00151857099263
1,500,,0.8891538263518441,0.9517374111522675,0.9886279738176018,0.7061142857142857,0.39848491292681254,0.5913724924655216,220.32450609304942,46.764249116007704
2,30,,0.9885254093788882,0.9761843499277777,0.9558541931748735,0.9319,0.3885727568020064,0.6658656645867598,65.54559308598982,46.263835830031894
2,100,,0.9834066229995853,0.9753829355147805,0.9694207928550769,0.9260857142857143,0.4395314072109745,0.6709971774311956,99.83709058101522,46.40169680403778
2,250,,0.9749406432790355,0.9658404430587932,0.978368901456215,0.9107428571428573,0.4348605323614295,0.6616031148771802,164.29961194703355,46.755299130047206
2,500,,0.9680661112938518,0.9683723152610729,0.9849774686392251,0.8874571428571427,0.4660375475786391,0.6609911296702963,260.30484057503054,46.480920452973805
3,30,,0.9935040487393275,0.9812948929536777,0.9555323000227245,0.9361857142857143,0.42104377247531244,0.6752992256862614,115.60788023401983,46.162298539013136
3,100,,0.9917932725998598,0.9814274516253594,0.9660894548238947,0.937,0.4678227485492844,0.6823908035901218,148.3401468739612,46.1953566899756
3,250,,0.9885131816426641,0.9792292064127683,0.9741436965843081,0.9311714285714286,0.47940372727752883,0.6808347694640164,226.8327938229777,46.321446582034696
3,500,,0.9873148205883615,0.9819103056218984,0.9802716541001711,0.9238571428571427,0.5290196695226624,0.6883660568979788,331.32037822605344,46.295582638995256
4,30,,0.994208038842727,0.9829019049525907,0.9553957325184347,0.9393285714285714,0.4576374844653911,0.6837360534341691,189.18879059696337,46.18620887899306
4,100,,0.994679212848419,0.9826389128040844,0.9653780520583102,0.9401857142857143,0.46934387195337207,0.6842939319666559,224.3838975619874,46.15804858895717
4,250,,0.9934832515767344,0.9826269825379346,0.9729713888267874,0.9347714285714286,0.4785925098957862,0.6833005567510194,306.92802955699153,46.464275688980706
4,500,,0.992790629692662,0.9864312257769261,0.9784260612975609,0.9286,0.545968674586404,0.6950728937516861,435.5925128159579,46.24725066998508
5,30,,0.9946542997297027,0.9842143171774667,0.9552404156820444,0.9390285714285713,0.46449945824589867,0.685431246179919,299.71553162299097,46.397553073999006
5,100,,0.9953074796561933,0.9832954378387655,0.9652186784772102,0.940342857142857,0.47266365391574605,0.6852781500152704,359.29753807000816,46.20097078400431
5,250,,0.9950913318936544,0.9843890279307238,0.9722407424737115,0.9368142857142858,0.5032732765105897,0.6894654359151086,489.9530085939914,50.08600980800111
5,500,,0.9948804384823305,0.9876230296182944,0.9772764861066735,0.9338714285714286,0.5730475190676223,0.7024291859266004,637.9904755010502,49.06725920300232
6,30,,0.9949977003275031,0.9842554896099995,0.9551794426246437,0.9400428571428573,0.4599488024065967,0.6848130813724626,597.4901541030267,52.199883944995236
6,100,,0.9954382635184417,0.9839070649142628,0.9650440001866374,0.9418571428571427,0.4647172187334549,0.684175137967333,1313.7946218970465,250.04882862902014
6,250,,0.9954990761265964,0.98591529396622,0.9723331167785955,0.938557142857143,0.5121864505373196,0.6919649693417367,789.9940380969783,225.85048792004818
6,500,,0.9956053873546615,0.9898414641820288,0.9770241827505219,0.9349714285714287,0.5875225096216551,0.7061833213958504,903.8936190400273,243.50464195100358
7,30,,0.9947740757690603,0.9843150665732305,0.9552079918566554,0.9394714285714284,0.45902853663125953,0.6844762231376648,1098.1856912289513,300.5967358420021
7,100,,0.9956883557627676,0.9841869542210717,0.9650142198184405,0.9417714285714286,0.4660817029199319,0.6845428443313519,1046.196586075006,152.89465371100232
7,250,,0.9956076512735438,0.9859440985083592,0.9723163379963773,0.9377142857142857,0.5125089251430196,0.6918917245285662,1962.2745169700356,176.046399148996
7,500,,0.9957673641005106,0.9895422879453113,0.9770753078825197,0.934242857142857,0.5875710663288308,0.7060096535269981,1582.5125857130042,239.08708029298577
8,30,,0.9948465125924231,0.984229266478841,0.955200019031122,0.9399857142857143,0.45490399557680866,0.6837530939805331,2726.555791407998,199.10435611201683
8,100,,0.9956578450581354,0.9842849720406733,0.9651049582119616,0.9423285714285714,0.47537911972606905,0.6865091100082975,2557.181185600988,240.02515403099824
8,250,,0.9959918968007666,0.9871036769017347,0.9722907187247823,0.9389428571428573,0.5291797215617615,0.6957854867364676,3378.79705331102,270.35815702500986
8,500,,0.9960079902178111,0.9899861047151867,0.9770167637943614,0.935,0.5860948493409545,0.7060144360959182,3306.429769509996,164.22609632799868
9,30,,0.994825365044406,0.9842191024412568,0.9552150314739317,0.9394714285714286,0.45336605353206194,0.6833333836230443,5492.656072188984,246.82276560895843
9,100,,0.9956361225919941,0.9841655435264505,0.9651737584057818,0.9415142857142856,0.47320692730683694,0.6858698241467571,5520.9868637140025,51.9355158850085
9,250,,0.9957819201121233,0.9874733892996582,0.9722722339707105,0.9386,0.5401350774762225,0.6979436305834588,6996.9997617169865,246.82199829700403
9,500,,0.9962138109062826,0.9899635413240279,0.9771062103270904,0.9353,0.5953893511659685,0.7079520986138377,5876.084503172955,51.37320266204188
10,30,,0.9948732992005491,0.9843183759278064,0.9552584120105078,0.9399142857142857,0.45265028606578245,0.6832995669795833,12281.45924701303,57.05216069100425
10,100,,0.9954044620511133,0.9842843370564764,0.9651540968017763,0.9418,0.47007635454994945,0.6852822113711526,13878.67212873901,44.83765203499934
10,250,,0.9959769832530069,0.986755921513665,0.9722534724867068,0.938657142857143,0.524033553445827,0.6946340257165871,13504.04897869099,45.16806398401968
10,500,,0.9960830756689502,0.9896428428414112,0.9769672160512143,0.9346,0.5815208045207747,0.7049759013959844,10624.068110152963,45.79951856599655
1,30,2,0.9049027773407892,0.9696640533157902,0.9821960048355038,0.8439142857142857,0.32850453095431564,0.6129579284979354,42.348734926999995,45.307966093999994
1,100,2,0.8769845515781646,0.9649648742187835,0.9913515223756639,0.7198285714285716,0.35957694537572077,0.5860006840451154,71.56845281000003,44.74037347699996
1,250,2,0.8374439268910087,0.9588674084349927,0.9960036792204328,0.6178285714285714,0.3844563488137123,0.5605185152695705,130.483959152,44.560311092000006
1,500,2,0.7781199519471419,0.9487635470446062,0.9980506424478662,0.5426142857142857,0.42051587298957405,0.5383926030495483,229.77621746899996,50.07339424199995
2,30,2,0.9729839923916308,0.9769156743846803,0.9861056516616882,0.9219714285714287,0.38247197239573255,0.6536474832163569,111.3883297509999,83.06480868200015
2,100,2,0.9558519614433019,0.9774901520243696,0.9931037328706449,0.8817857142857143,0.40553370447187403,0.6455115598709229,178.56008280299966,82.72853611900018
2,250,2,0.9351320023454371,0.9781273086109006,0.9962353048320627,0.7686285714285713,0.4618197208228955,0.6294944596751484,295.49877390200027,83.00828496500026
2,500,2,0.9124380075225605,0.974735574846617,0.9977337190816614,0.7493571428571428,0.500546691107153,0.6278687394503625,484.63274095199995,84.55891226999984
