n_components,n_neighbors,n_jobs,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
1,1,-1,0.5001091686569512,0.5003546443945484,0.99999678351,0.229785714286,0.00284516658141,0.246619582082,46.462742537000054,93.22385293599996
1,2,-1,0.6286894526836664,0.5688777784133976,0.999991193143,0.424528571429,-0.0128036947587,0.3244209219,75.46725785199999,123.72835038300002
1,3,-1,0.6669345508630923,0.4880889707249403,0.999997152986,0.453342857143,-0.0249158436564,0.3216738451,75.76567754400014,116.48612560599986
1,4,-1,0.6296538621054588,0.7977707463924603,0.99998505634,0.449428571429,0.320711711295,0.439515966976,77.11547223699995,113.8785077330001
1,5,-1,0.6316924688586016,0.8062096277333639,0.999983061152,0.440814285714,0.326513970923,0.441049458415,78.20341825500009,110.26835142200002
1,6,-1,0.6343355748466171,0.8178004805285815,0.999980729029,0.441357142857,0.335569349683,0.445816363777,80.27993944800005,95.81034412400004
1,7,-1,0.6345279893597242,0.8239587388985027,0.999978580302,0.439957142857,0.332912346895,0.446275527542,77.98781211799997,94.029347185
1,8,-1,0.6366920884401412,0.8306229538206313,0.999976763704,0.446857142857,0.335402038313,0.449919491946,79.96100661300011,97.67758370599995
1,9,-1,0.6338978419118173,0.8338276532757462,0.999974968728,0.440457142857,0.332465097737,0.448134553411,81.99893406499996,99.36183351199998
2,1,-1,0.5017737425453714,0.5013834732491456,0.999995099917,0.228785714286,0.00567774016098,0.247525114065,49.03383981499974,94.4901960860002
2,2,-1,0.6239382091729474,0.5823313659310956,0.999987298721,0.419728571429,-0.0140381164539,0.3252021696,67.97499119300028,93.00519218
2,3,-1,0.684453969366303,0.7560887147290591,0.999986257738,0.497228571429,0.256499066697,0.438856812896,70.25497059200006,94.54350817299974
2,4,-1,0.7777183015602878,0.8380558628777369,0.999978678707,0.720557142857,0.311017065701,0.529473938858,72.50993541700018,96.21708576599985
2,5,-1,0.7643656407762824,0.8525851579594697,0.999972619401,0.607785714286,0.225683777864,0.490089534297,76.97784396899988,95.3731755509998
2,6,-1,0.7635931324456903,0.8629512949959242,0.999969366316,0.616328571429,0.226841949805,0.493949116472,78.82096256500017,95.43224643799977
2,7,-1,0.7620329033365274,0.8697218168556842,0.99996625892,0.613742857143,0.228476489768,0.494801561636,78.74022341,94.64037912100002
2,8,-1,0.7529781216480986,0.8728770375985012,0.99996365861,0.587642857143,0.224748896409,0.487656650838,81.18382988699977,94.02638108499968
2,9,-1,0.75984310741816,0.879385007794288,0.99996106854,0.602971428571,0.219394807569,0.492326656563,81.96191451300001,97.05911603499999
3,1,-1,0.5023329119173949,0.5016991419132475,0.999994710676,0.229228571429,0.00623013628304,0.247899210173,45.70831261500007,97.2933292380003
3,2,-1,0.6272951389385467,0.5761952919640176,0.999983443419,0.424228571429,-0.00978314360985,0.3255471118,67.44453801700001,89.17718798499936
3,3,-1,0.684434839752299,0.7203356220413883,0.999985000091,0.4973,0.235959506082,0.427608993557,70.61235979199955,92.80835750999995
3,4,-1,0.8678300416172076,0.8588436923472963,0.999971342308,0.795828571429,0.226727593964,0.54985171141,71.01172270400002,92.51820803099963
3,5,-1,0.8670854597199777,0.8655199848404673,0.999966625649,0.769642857143,0.256001843035,0.551656703818,74.81446334100019,96.74968111700036
3,6,-1,0.8690891909672068,0.876303787022868,0.999962644345,0.769857142857,0.259568899029,0.554971275106,78.09935913299978,93.51040690399986
3,7,-1,0.870991260386425,0.8821298499778327,0.999959088934,0.771914285714,0.26617102644,0.558249466717,77.9298951439996,94.96788794399981
3,8,-1,0.8737036139753729,0.8904228179568955,0.999955480126,0.767771428571,0.267810896888,0.559950655453,79.8162451320004,91.7454365829999
3,9,-1,0.8712718919382749,0.894007851493786,0.999952577618,0.760714285714,0.266441454225,0.558496581151,81.63437651799995,92.27379404300063
4,1,-1,0.49901869914048314,0.5005909228723024,0.999993946639,0.228728571429,0.00339572550422,0.246347994461,48.0915180359998,88.73847481499979
4,2,-1,0.6284077814167013,0.5807599502309684,0.99998237011,0.428128571429,0.00103181487644,0.327669149569,67.7194228670005,89.17167128799974
4,3,-1,0.8006653704789555,0.8164539679361583,0.999980264355,0.701185714286,0.250195593066,0.513704076282,70.03010856899982,91.27134005399967
4,4,-1,0.8881107589777326,0.8560641548560559,0.99996535239,0.851171428571,0.221102659299,0.563296729863,71.75623020100011,90.45364259799953
4,5,-1,0.8981911488351473,0.8734992834975617,0.999959771038,0.8484,0.234456153754,0.57091736301,74.8699918479997,90.18828971200037
4,6,-1,0.9006210502981852,0.8811227965047266,0.999955067626,0.853642857143,0.238346215843,0.574755570432,77.10366947900002,89.24031770900001
4,7,-1,0.9038112852709409,0.8876822275932097,0.999950783474,0.8521,0.244844331446,0.577697412167,77.48279540299973,90.06131110600018
4,8,-1,0.9072664602491312,0.8944210803312215,0.999946707557,0.850685714286,0.246580703173,0.579801450096,79.89575310700002,90.65936681000039
4,9,-1,0.9047003875691833,0.8979771434292007,0.999943092779,0.8436,0.24879707825,0.579026303294,81.13297595499989,90.61391915900003
5,1,-1,0.500848715015088,0.49672116470975214,0.999992530948,0.230514285714,0.00757259980954,0.24713284686,49.021100040999954,91.47122416000002
5,2,-1,0.6333688028259657,0.5783196015617179,0.999979114704,0.440528571429,-0.0366645265058,0.3304475722,67.4870020419994,91.15638598500027
5,3,-1,0.8674453427341504,0.8017056190380848,0.99997488088,0.794957142857,0.187435664189,0.530313777588,69.24531981699965,93.24803621699994
5,4,-1,0.9176545113911017,0.8657576162350014,0.999961973537,0.857628571429,0.172297545391,0.562675254182,70.85904671000026,90.35863176600014
5,5,-1,0.925546609842255,0.8817704989774466,0.99995577813,0.8646,0.169197373023,0.568231740743,74.3283626600005,90.87651477800046
5,6,-1,0.9287842884315605,0.892736577377973,0.999950388624,0.8694,0.176917432053,0.573577581848,76.32989323799939,90.56160380999972
5,7,-1,0.9301831700584929,0.9003787108676687,0.999945517589,0.8637,0.181025560974,0.575068384862,76.47794928799976,90.80437269499907
5,8,-1,0.9335591650815898,0.9068263518441715,0.99994090998,0.868471428571,0.180742578813,0.577931722866,78.82469765699898,90.699781188001
5,9,-1,0.9332994093502853,0.9119594911545558,0.999936648434,0.860957142857,0.185841225473,0.57842412408,80.69312444999923,90.33229492899954
6,1,-1,0.5004036983539035,0.49995539808074596,0.999990701738,0.228414285714,0.00384296599564,0.246525129281,48.40129642200009,88.54387251499975
