Dimension,Accuracy_standard,Accuracy_vsvm
1,0.6369,0.6088
2,0.9389,0.9325
3,0.9417,0.9351
4,0.9449,0.9523
5,0.8488,0.8577
6,0.9488,0.9479
7,0.9516,0.9511
8,0.9531,0.9531
9,0.9519,0.9516
10,0.9528,0.9519
50,0.9472,0.9389
100,0.9503,0.9504
200,0.9519,0.9527
